,Id,Id2,FIPS,,White,Black,American_Indian_and_Alaska_Native,Asian,Asian_Indian,Japanese,Korean,Vietnamese,Other_Asian,Hispanic_or_Latino,Mexican,Puerto_Rican,Cuban,Other_Hispanic_or_Latino
167,1400000US11001009905,11001009905,Census Tract 99.05,,3.7,96.2,0,0,0,0,0,0,0,3,0,0,0,3
168,1400000US11001009906,11001009906,Census Tract 99.06,,3,95.7,0,0,0,0,0,0,0,2.2,0.4,0.7,0,1.2
169,1400000US11001009907,11001009907,Census Tract 99.07,,0.5,97.1,0,0,0,0,0,0,0,3.3,3.3,0,0,0
170,1400000US11001010100,11001010100,Census Tract 101,,65.6,13.8,0,14.8,3.2,0.4,1.8,0,2.2,8.6,2.8,1.4,0,4.5
171,1400000US11001010200,11001010200,Census Tract 102,,47,39.9,0,5.8,2,0,1.7,0,0.2,6.2,0.3,0.7,1.9,3.3
172,1400000US11001010300,11001010300,Census Tract 103,,23.4,58.1,0.3,2.2,0.4,0.4,0,0,0,19.8,2.5,0.7,0.1,16.5
173,1400000US11001010400,11001010400,Census Tract 104,,6,91.2,0,0.2,0,0,0,0.2,0,2,0,0,0,2
174,1400000US11001010500,11001010500,Census Tract 105,,47.6,41.3,1,6.5,2.2,0.9,0.4,0,2.2,5.6,4.1,0.8,0,0.7
175,1400000US11001010600,11001010600,Census Tract 106,,54.1,35.4,0.7,5.1,1.2,0.1,1,0.4,0.3,8.1,1.5,2.5,1.4,2.7
176,1400000US11001010700,11001010700,Census Tract 107,,72.9,7.4,0,16.2,1.5,0.5,0.9,2.9,7.2,4,0.8,0,0.4,2.8
177,1400000US11001010800,11001010800,Census Tract 108,,70,13.2,0.1,11.2,3,0,3,0.2,1.3,6,0.2,1.1,1.1,3.7
178,1400000US11001010900,11001010900,Census Tract 109,,1.4,97.8,0,0,0,0,0,0,0,1.3,0,0.7,0.3,0.2
179,1400000US11001011000,11001011000,Census Tract 110,,58.7,32.2,0.7,4.3,1.2,0.5,0.4,0,0,7,2.4,0.5,0.7,3.4
180,1400000US11001011100,11001011100,Census Tract 111,,11.2,85.4,0,0.1,0,0,0,0,0,5,1.1,1.2,0,2.7
