GEO.id,FIPS,GEO.display-label,HD01_VD01,,HD01_VD02,HD01_VD02A,HD01_VD03,HD01_VD03A,HD01_VD04,HD01_VD04A,HD01_VD05,HD01_VD05A,HD01_VD06,HD01_VD06A,HD01_VD07,HD01_VD07A,HD01_VD08,HD01_VD08A,HD01_VD09,HD01_VD09A,HD01_VD10,HD01_VD10A
Id,Id2,Geography,Estimate; Total:,,Estimate; Total: - White alone,White,Estimate; Total: - Black or African American alone,Black,Estimate; Total: - American Indian and Alaska Native alone,American Indian or Alaskan Native,Estimate; Total: - Asian alone,,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,,Estimate; Total: - Some other race alone,,Estimate; Total: - Two or more races:,,Estimate; Total: - Two or more races: - Two races including Some other race,,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races",
0500000US51197,51197,"Wythe County, Virginia",29259,,27804,95.02,1088,3.71,22,0.07519054,189,0.645955091,0,0,97,0.331521925,59,0.201647356,0,0,59,0.201647356
0500000US51199,51199,"York County, Virginia",65808,,50872,77.3,8852,13.45,107,0.162594213,3346,5.084488208,167,0.253768539,268,0.40724532,2196,3.336980306,166,0.252248967,2030,3.08473134
0500000US51510,51510,"Alexandria city, Virginia",146422,,93493,63.85,31614,21.59,373,0.25474314,9298,6.35013864,65,0.044392236,5482,3.7439729,6097,4.16399175,1580,1.079072817,4517,3.084918933
0500000US51520,51520,"Bristol city, Virginia",17595,,15744,89.47,1169,6.64,105,0.596760443,146,0.829781188,0,0,198,1.125319693,233,1.324239841,0,0,233,1.324239841
0500000US51530,51530,"Buena Vista city, Virginia",6683,,6005,89.85,213,3.18,0,0,382,5.71599581,1,0.01496334,0,0,82,1.226993865,0,0,82,1.226993865
0500000US51540,51540,"Charlottesville city, Virginia",44505,,31415,70.58,8743,19.64,109,0.244916302,3038,6.826199303,59,0.132569374,130,0.292102011,1011,2.27165487,72,0.161779575,939,2.109875295
0500000US51550,51550,"Chesapeake city, Virginia",228168,,142696,62.53,67981,29.79,642,0.281371621,7391,3.239279829,229,0.100364644,2561,1.122418569,6668,2.92240805,476,0.208618211,6192,2.713789839
0500000US51570,51570,"Colonial Heights city, Virginia",17542,,14150,80.66,2422,13.8,33,0.188119941,569,3.243643826,0,0,186,1.060312393,182,1.037509976,6,0.034203626,176,1.00330635
0500000US51580,51580,"Covington city, Virginia",5853,,4818,82.31,804,13.73,0,0,21,0.358790364,0,0,44,0.751751239,166,2.8361524,0,0,166,2.8361524
0500000US51590,51590,"Danville city, Virginia",42704,,20004,46.84,20629,48.3,42,0.098351442,515,1.205976021,14,0.032783814,665,1.557231173,835,1.955320345,75,0.175627576,760,1.779692769
0500000US51595,51595,"Emporia city, Virginia",5682,,1762,31.01,3715,65.38,12,0.211193242,61,1.073565646,0,0,59,1.038366772,73,1.284758888,0,0,73,1.284758888
0500000US51600,51600,"Fairfax city, Virginia",23507,,16234,69.06,1107,4.7,175,0.744459097,3466,14.74454418,37,0.157399923,1336,5.683413451,1152,4.900667886,246,1.046496788,906,3.854171098
0500000US51610,51610,"Falls Church city, Virginia",13074,,10138,77.54,724,5.53,0,0,1179,9.017898118,0,0,475,3.63316506,558,4.26801285,37,0.283004436,521,3.985008414
0500000US51620,51620,"Franklin city, Virginia",8534,,3310,38.78,4947,57.96,0,0,73,0.855401922,0,0,14,0.164049684,190,2.226388563,0,0,190,2.226388563
0500000US51630,51630,"Fredericksburg city, Virginia",26632,,17588,66.04,5974,22.43,104,0.39050766,741,2.782367077,11,0.041303695,1089,4.089065786,1125,4.224241514,267,1.002553319,858,3.221688195
0500000US51640,51640,"Galax city, Virginia",6981,,6441,92.26,315,4.51,15,0.21486893,15,0.21486893,0,0,19,0.272167311,176,2.521128778,68,0.974072482,108,1.547056296
0500000US51650,51650,"Hampton city, Virginia",136904,,58796,42.94,68794,50.24,616,0.44995033,3145,2.297230176,15,0.010956583,1550,1.132180214,3988,2.912990124,290,0.211827266,3698,2.701162859
0500000US51660,51660,"Harrisonburg city, Virginia",50821,,43006,84.62,3708,7.29,96,0.18889829,1818,3.577261368,30,0.059030716,661,1.300643435,1502,2.955471163,211,0.4151827,1291,2.540288463
0500000US51670,51670,"Hopewell city, Virginia",22375,,12053,53.86,8416,37.61,26,0.116201117,294,1.31396648,0,0,901,4.026815642,685,3.061452514,31,0.138547486,654,2.922905028
0500000US51678,51678,"Lexington city, Virginia",7114,,6023,84.66,455,6.39,0,0,316,4.44194546,0,0,59,0.829350576,261,3.668822041,45,0.632555524,216,3.036266517
0500000US51680,51680,"Lynchburg city, Virginia",77626,,50330,64.83,21807,28.09,159,0.204828279,2211,2.848272486,20,0.025764563,673,0.866977559,2426,3.125241543,334,0.430268209,2092,2.694973334
0500000US51683,51683,"Manassas city, Virginia",40436,,29696,73.43,5864,14.5,43,0.106340884,2054,5.079632011,0,0,1120,2.769809081,1659,4.102779701,339,0.838361856,1320,3.264417845
0500000US51685,51685,"Manassas Park city, Virginia",14992,,10177,67.88,1951,13.01,45,0.300160085,1187,7.91755603,0,0,452,3.014941302,1180,7.870864461,272,1.814300961,908,6.056563501
0500000US51690,51690,"Martinsville city, Virginia",13745,,6782,49.34,6264,45.57,30,0.218261186,19,0.138232084,0,0,422,3.070207348,228,1.658785013,0,0,228,1.658785013
